,character,text,number,types
0,FURY, How bad is it?,4,male
1,FURY, NASA didn’t authorize Selvig could go to test B.,4,male
2,FURY, Where are the energy levels now?,4,male
3,FURY, How long to get everyone out?,4,male
4,FURY, Do better.,4,male
5,FURY, We should tell them to go back to sleep?,4,male
6,FURY, I need you to make sure the Phase Two prototypes are shipped out.,4,male
7,FURY, Until such time as the world ends we will act as though it intends to spin on. Clear out the tech below. Every piece of Phase Two on a truck and gone.,4,male
8,FURY," Talk to me, Doctor.",4,male
9,FURY, Is there anything we know for certain?,4,male
10,FURY, Is that supposed to be funny?,4,male
11,FURY, How soon can you pull the plug?,4,male
12,FURY," We prepared for this, Doctor. Harnessing energy from space.",4,male
13,FURY, That can be harmful. Where’s agent Barton?,4,male
14,FURY, Agent Barton. Report.,4,male
15,FURY, Have you seen anything that might set this thing off?,4,male
16,FURY, At this end?,4,male
17,FURY," Sir, please put down the spear!",4,male
18,FURY, This doesn’t have to get any messier.,4,male
19,FURY, We have no quarrel with your people.,4,male
20,FURY, You planning to step on us?,4,male
21,FURY, Free from what?,4,male
22,FURY," Yeah, you say peace. I kinda think you mean the other thing.",4,male
23,FURY, Like the pharaohs of old.,4,male
24,FURY, Hill!,4,male
25,FURY, Do you copy?,4,male
26,FURY, Barton...has turned.,4,male
27,FURY, Get the Tesseract. Shut them down.,4,male
28,FURY, The Tesseract is with a hostile force. I have men down. Hill?,4,male
29,FURY, Sound a general call. I want every living soul...,4,male
30,FURY, ...not working rescue looking for that briefcase.,4,male
31,FURY," Coulson, get back to base.",4,male
32,FURY, This is a level seven.,4,male
33,FURY, As of right now...,4,male
34,FURY, We are at war.,4,male
35,FURY," You ever been in a war, councilman? In a fire fight? Did you feel an over abundance of control?",4,male
36,FURY," Not Asgard, Loki.",4,male
37,FURY, Our intelligence says Thor is not a hostile. But he’s worlds away and we can’t depend on him to help either. It’s up to us.,4,male
38,FURY, Phase Two isn’t ready; our enemy is. We need a response team.,4,male
39,FURY, This isn’t about the Avengers.,4,male
40,FURY," I’m not leaving anything to anyone. We need a response team. These people may be isolated, unbalanced even, but I believe, with the right push, they can be exactly what we need.",4,male
41,FURY," No, It’s won by soldiers.",4,male
42,FURY, Trouble sleeping?,4,male
43,FURY," Then you should be out, celebrating, seeing the world.",4,male
44,FURY," We’ve made some mistakes along the way, some very recently.",4,male
45,FURY, I am.,4,male
46,FURY, Trying to save it.,4,male
47,FURY, Howard Stark fished that out of the ocean when he was looking for you. He thought what we think. The Tesseract could be the key to unlimited sustainable energy. That’s something the world sorely needs.,4,male
48,FURY, He’s called Loki. He’s- not from around here. There’s a lot we’ll have to bring you up to speed on if you’re in. The world has gotten even stranger than you already know.,4,male
49,FURY, Ten bucks says you’re wrong. There’s a debriefing packet waiting for you back at your apartment. Is there anything you can tell us about the Tesseract that we ought to know now?,4,male
50,FURY, Good! Let’s vanish.,4,male
51,FURY," Gentlemen. Doctor, thank you for coming.",4,male
52,FURY," Once we get our hands on the Tesseract, you’re in the wind.",4,male
53,FURY, How many are there?,4,male
54,FURY," Agent Romanoff, would you show Doctor Banner to his laboratory, please?",4,male
55,FURY," Hill, did you tell the council that Barton had been compromised?",4,male
56,FURY, Doesn’t appear that I have to.,4,male
57,FURY," Captain, you’re up.",4,male
58,FURY, He saying anything?,4,male
59,FURY," Just get him here, we’re low on time.",4,male
60,FURY," In case it’s unclear, you try to escape- you so much as scratch that glass- Thirty thousand feet straight down in a steel trap. You get how that works? Ant. (gestures to panel) Boot.",4,male
