character,text,gender
GRUMPY, Three of a kind.  Let's do this.,male
GRUMPY, There's two on the roof.  Every guy is an extra share.  Five shares is plenty.,male
GRUMPY, Yeah?  He thinks he can sit it out and still take a slice then I get why they call him the Joker.,male
GRUMPY," Obviously, we don't want you doing anything with your hands other than holding on for dear life.",male
GRUMPY, He's got three left?,male
GRUMPY, Where'd you learn to count?!,male
GRUMPY, A mob bank.  Guess the Joker's as crazy as they say.,male
GRUMPY, Where's the alarm guy?,male
GRUMPY," Funny, he told me something similar...",male
GRUMPY," C'mon, there's a lot to carry...",male
GRUMPY, If this guy was so smart he would have had us bring a bigger car.,male
GRUMPY, I'm betting the Joker told you to kill me soon as we loaded the cash.,male
GRUMPY, Bus driver?  What bus-,male
ENGEL," Mr Mayor, you were elected on a campaign to clean up the city... when are you going to start?",male
ENGEL, Like this so-called Batman- a lot of people say he's doing some good that criminals are running scared... but I say NO.  What kind of hero needs to wear a mask?  You don't let vigilantes run around breaking the law... where does it end?,male
ENGEL, ...Police released video footage found concealed on the body. Sensitive viewers be aware: it is disturbing.,male
ENGEL," With no word from the Batman- even as they mourn Commissioner Loeb, these cops have to be wondering if the Joker is going to make good on his threat to kill the Mayor today...",male
ENGEL, ...he's a credible source- an A and M lawyer for a prestigious consultancy. He says he's waited as long as he can for the Batman to do the right thing...,male
ENGEL," Now he's taking matters into his own hands.  We'll be live at five with the true identity of the Batman, stay with us...",male
ENGEL," Caller, you're on the air.",male
ENGEL," Guy's got a point- Dent didn't want Batman to give himself up, is this the right thing to do?",male
ENGEL," And we wish him a speedy recovery. God knows we need him, now.  Let's take another call-",male
ENGEL, Who is this?,male
ENGEL, Commissioner?!  You really think someone would try to-,male
ENGEL, Thanks.,male
MAYOR," Well, Mike-",male
MAYOR, I'm told our men in the Major Crimes Unit are close to an arrest.,male
MAYOR, DENT!  What was that circus?!,male
MAYOR, 549 criminals at once?!  How did you convince Surrillo to hear this farce?,male
MAYOR," Even if you blow enough smoke to get convictions out of Surrillo, you'll set a new record at appeals for quickest kick in the ass.",male
MAYOR," The public likes you, Dent.  That's the only reason this might fly.",male
MAYOR, Followed swiftly by you and me-,male
MAYOR, Back from the dead.,male
MAYOR, What do we got?,male
MAYOR," Go home, Gordon.  The clown'll keep till morning.  Get some rest- you're going to need it.  Tomorrow, you take the big job. You don't have any say in the matter. Commissioner Gordon.",male
MAYOR, Land routes East?,male
MAYOR, The men you and Dent put away?  Those aren't people I'm worried about.,male
ENGEL," Yet, we hear rumors that instead of trying to arrest him the cops are using him to do their dirty work.",male
RAMIREZ," Hey, Wuertz- the Mayor says you're closing in on the Batman.",male
RAMIREZ," Ever intending to see your wife again, Lieutenant?",male
RAMIREZ, They checked her back into hospital.,male
RAMIREZ, Least there she's got someone round the clock.  Unlike your wife. He hasn't shown?,male
RAMIREZ, Why wouldn't he come?,male
RAMIREZ, He can't resist showing us his face.,male
RAMIREZ," Give us a minute, please, people!",male
RAMIREZ, You're gonna want to see this.,male
RAMIREZ, That Joker card pinned to the body? Forensics found three sets of D.N.A..,male
RAMIREZ, All three.,male
RAMIREZ," The D.N.A. belongs to Judge Surrillo, Harvey Dent and Commissioner Loeb.",male
RAMIREZ, City hall.,male
RAMIREZ, Harvey Dent.,male
RAMIREZ, Us contaminate it?  It's because of you that these guys are dead in the first place-,male
RAMIREZ, Let him be!  He's been through enough-,male
RAMIREZ," I figured, counselor.",male
RAMIREZ," 250, 52nd street.  Leave as soon as the patrol car pulls out.",male
RAMIREZ, I didn't know-,male
RAMIREZ, I'm sorry- they got me early on.  My mother's medical bills and my-,male
RAMIREZ," I took a little from them- once they've got you, they keep you.  I'm sorry.",male
GORDON," I thought you had to go look after your mother, detective.",male
GORDON, I'm sorry.,male
GORDON, Often doesn't.  But I like reminding everybody that he's out there.,male
GORDON, Hopefully...  Because he's busy.,male
GORDON," Put this out, by morning we can put a big top over central holding and sell tickets.  What's he hiding under that makeup?",male
GORDON, Another bunch of small timers.,male
